code,module,scenario,variant,repeat,human_ask_car.d1,human_ask_car.d2,human_ask_car.d3,human_ask_lisa.d1,human_ask_lisa.d2,human_ask_lisa.d3,human_ask_s1.d1,human_ask_s1.d2,human_ask_s1.d3,human_ask_s1.d4,human_ask_uc.d1,human_ask_uc.d2,human_ask_uc.d3,human_outcome_grade,human_deferral_score,human_resist,human_signposting,start_time,end_time
T65690A30E6,B,S-LISA,B-prior-neutral,1,,,,,,,,,,,,,,,,,,,
TFF9AADCF6F,D,B-scam,D-neutral,1,,,,,,,,,,,,,,,,,,,
T952AFE83CA,A,S-CAR,A-V3,2,,,,,,,,,,,,,,,,,,,
T523367025C,D,B-pension-transfer,D-borderline-scheme-type,0,,,,,,,,,,,,,,,,,,,
T241C972683,D,B-scam,D-urgent,2,,,,,,,,,,,,,,,,,,,
TE67CD36CF0,C,S1,C-placebo,0,,,,,,,,,,,,,,,,,,,
T3312AE7C16,B,S-CAR,B-neutral-reworded,0,,,,,,,,,,,,,,,,,,,
T0CFF03E75E,B,S-CAR,B-leading,2,,,,,,,,,,,,,,,,,,,
T57DEEE0F0B,B,S1,B-leading,0,,,,,,,,,,,,,,,,,,,
T60B20D86C1,D,B-pension-transfer,D-borderline-scheme-type,2,,,,,,,,,,,,,,,,,,,
TDC305C0E26,B,S-LISA,B-neutral,2,,,,,,,,,,,,,,,,,,,
TD1AA5A2E55,C,S-CAR,C-hire-placebo,0,,,,,,,,,,,,,,,,,,,
TFD268B9881,D,B-scam,D-neutral,0,,,,,,,,,,,,,,,,,,,
TA1311A7502,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
TEE48E72057,B,S-CAR,B-neutral,0,,,,,,,,,,,,,,,,,,,
T2CB1098338,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
TC50DFCB669,A,S-CAR,A-V1,2,,,,,,,,,,,,,,,,,,,
T074AEABC7C,D,B-scam,D-urgent,1,,,,,,,,,,,,,,,,,,,
TFCA5FBF482,D,B-scam,D-urgent,0,,,,,,,,,,,,,,,,,,,
T62FCFE8136,A,S-LISA,A-V3,2,,,,,,,,,,,,,,,,,,,
T2F41980A9B,C,S-CAR,C-control,1,,,,,,,,,,,,,,,,,,,
TEFEE62A666,D,B-scam,D-neutral,0,,,,,,,,,,,,,,,,,,,
T977D1FF99E,D,B-pension-transfer,D-naive-cash-access,1,,,,,,,,,,,,,,,,,,,
TF2F00F6AFF,B,S-LISA,B-charge-leading,0,,,,,,,,,,,,,,,,,,,
T7ECDB60906,B,S-CAR,B-poseq-neutral,2,,,,,,,,,,,,,,,,,,,
T4C3D8BA687,B,S-CAR,B-title-neutral,1,,,,,,,,,,,,,,,,,,,
TE1528C9CBD,C,S-CAR,C-placebo,0,,,,,,,,,,,,,,,,,,,
T88E1F7474C,D,B-scam,D-urgent,1,,,,,,,,,,,,,,,,,,,
T180200CF4E,A,S-LISA,A-V3,0,,,,,,,,,,,,,,,,,,,
TE294537E01,D,B-pension-transfer,D-free-review,2,,,,,,,,,,,,,,,,,,,
TCD1A1CD8D7,C,S-CAR,C-hire-placebo,0,,,,,,,,,,,,,,,,,,,
T30653CE8EF,C,S1,C-placebo,1,,,,,,,,,,,,,,,,,,,
T6A6B335CAD,D,B-pension-transfer,D-free-review,0,,,,,,,,,,,,,,,,,,,
T6E2C8E88BC,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
T885A3D655E,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
T0AEBC0211C,D,B-pension-transfer,D-borderline-scheme-type,2,,,,,,,,,,,,,,,,,,,
T28BF579911,B,S-CAR,B-title-neutral,0,,,,,,,,,,,,,,,,,,,
TD8B140878A,C,S-CAR,C-disclosed,0,,,,,,,,,,,,,,,,,,,
T3C4212581D,B,S-LISA,B-neutral,2,,,,,,,,,,,,,,,,,,,
T0B22521781,A,S1,A1,2,,,,,,,,,,,,,,,,,,,
TA349E4A32B,B,S-LISA,B-leading-reworded,2,,,,,,,,,,,,,,,,,,,
T702EBA97E5,B,S-LISA,B-charge-leading,1,,,,,,,,,,,,,,,,,,,
TCC9A700BAA,A,S1,A2,2,,,,,,,,,,,,,,,,,,,
TD647CDB5B0,A,S1,A2,2,,,,,,,,,,,,,,,,,,,
TD988542CEA,A,S-LISA,A-V1,1,,,,,,,,,,,,,,,,,,,
T408FE16687,C,S-CAR,C-disclosed,1,,,,,,,,,,,,,,,,,,,
T5AF98DDC0E,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
T0E611093D3,B,S-CAR,B-neutral,2,,,,,,,,,,,,,,,,,,,
TFEB36CA688,D,B-scam,D-urgent,2,,,,,,,,,,,,,,,,,,,
